"SourceRoot","Project","DependencyType","Include","Version"
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Core",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Drawing",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Text.Json",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"ChatGPT_LatestWorkspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
