"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"Coder01 (2)","Coder01/analysis_notes.md","analysis_notes.md",".md","20920","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/app.config ×4","app.config ×4",".config ×4","0","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/ARCHITECTURE.md","ARCHITECTURE.md",".md","20097","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/AUTOMATED_BUILD_HELPER.ps1","AUTOMATED_BUILD_HELPER.ps1",".ps1","4575","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/BUILD_COMPLETE_FIX.txt","BUILD_COMPLETE_FIX.txt",".txt","8088","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/BUILD_INSTRUCTIONS.md","BUILD_INSTRUCTIONS.md",".md","7269","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/BUILD_NO_MSBUILD.ps1","BUILD_NO_MSBUILD.ps1",".ps1","2849","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/Build.bat","Build.bat",".bat","3336","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/CHECK_ENVIRONMENT.bat","CHECK_ENVIRONMENT.bat",".bat","2905","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/COMPARISON_AND_MERGER.md","COMPARISON_AND_MERGER.md",".md","6353","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/COMPILATION_SUMMARY.txt","COMPILATION_SUMMARY.txt",".txt","8139","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/COMPLETE_GUIDE.txt","COMPLETE_GUIDE.txt",".txt","14062","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/Directory.Build.targets","Directory.Build.targets",".targets","975","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/dist/Coder01_Enterprise_Release_20260503_203316.zip","Coder01_Enterprise_Release_20260503_203316.zip",".zip","9376422","Archive Package","Reference/Future Development","Nested or delivered package preserved for traceability.","False","True","False","False","0","","0","","0","0"
"Coder01 (2)","Coder01/dist/Coder01_Enterprise_Release_20260503_203316/BUILD_INSTRUCTIONS.md","BUILD_INSTRUCTIONS.md",".md","7269","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
