"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"CodexMarege","_rels/.rels",".rels",".rels","735","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"CodexMarege",".continue/agents/new-config.yaml","new-config.yaml",".yaml","401","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"CodexMarege","AUTOMATED_BUILD_HELPER.ps1","AUTOMATED_BUILD_HELPER.ps1",".ps1","4575","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege","BUILD_NO_MSBUILD.ps1","BUILD_NO_MSBUILD.ps1",".ps1","2849","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege","Build.bat","Build.bat",".bat","3336","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege","CHECK_ENVIRONMENT.bat","CHECK_ENVIRONMENT.bat",".bat","2905","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege","Directory.Build.targets","Directory.Build.targets",".targets","975","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"CodexMarege","docs/refactor/codexmarege-refactor-report.md","codexmarege-refactor-report.md",".md","4650","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"CodexMarege","docs/refactor/codexmarege-refactor-status.csv","codexmarege-refactor-status.csv",".csv","2203","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"CodexMarege","docs/refactoring/2026-05-14-additive-refactor-report.md","2026-05-14-additive-refactor-report.md",".md","3585","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"CodexMarege","docs/refactoring/codexmarege-current-diagnostic-manifest.csv","codexmarege-current-diagnostic-manifest.csv",".csv","42011","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"CodexMarege","EJLive.Client.WinForms/app.config","app.config",".config","816","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"CodexMarege","EJLive.Client.WinForms/ClientMainForm.cs","ClientMainForm.cs",".cs","153268","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","True","False","False","False","1","EJLive.Client.WinForms","2","ClientMainForm;ServiceRowState","116","38"
"CodexMarege","EJLive.Client.WinForms/ClientMainForm.cs.bak","ClientMainForm.cs.bak",".bak","151940","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"CodexMarege","EJLive.Client.WinForms/ClientMainForm.Designer.cs","ClientMainForm.Designer.cs",".cs","786","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms","1","ClientMainForm","1","0"
"CodexMarege","EJLive.Client.WinForms/ClientMainForm.resx","ClientMainForm.resx",".resx","5814","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"CodexMarege","EJLive.Client.WinForms/Controls/ATMCardControl.cs","ATMCardControl.cs",".cs","8638","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","True","False","False","False","1","EJLive.Client.WinForms.Controls","1","ATMCardControl","4","7"
"CodexMarege","EJLive.Client.WinForms/Controls/DarkButton.cs","DarkButton.cs",".cs","2782","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.Controls","1","DarkButton","1","6"
"CodexMarege","EJLive.Client.WinForms/Controls/StatusCard.cs","StatusCard.cs",".cs","3170","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","True","True","1","EJLive.Client.Controls","1","StatusCard","1","6"
"CodexMarege","EJLive.Client.WinForms/Controls/ThemeColors.cs","ThemeColors.cs",".cs","3504","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.Controls","1","ThemeColors","3","2"
"CodexMarege","EJLive.Client.WinForms/Controls/ToastNotification.cs","ToastNotification.cs",".cs","7696","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","True","False","False","False","1","EJLive.Client.WinForms.Controls","2","ToastNotification;ToastType","12","14"
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","EJLive.Client.WinForms.csproj",".csproj","5126","CSharp Project","Project Structure","Original project file used for dependency and assembly mapping.","False","False","False","False","0","","0","","0","0"
"CodexMarege","EJLive.Client.WinForms/packages.config","packages.config",".config","236","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"CodexMarege","EJLive.Client.WinForms/Program.cs","Program.cs",".cs","1098","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.WinForms","1","Program","0","5"
"CodexMarege","EJLive.Client.WinForms/Properties/AssemblyInfo.cs","AssemblyInfo.cs",".cs","886","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","True","False","False","False","0","","0","","0","2"
"CodexMarege","EJLive.Client.WinForms/Properties/Resources.Designer.cs","Resources.Designer.cs",".cs","2873","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Properties","3","was;via;Resources","0","1"
"CodexMarege","EJLive.Client.WinForms/Properties/Resources.resx","Resources.resx",".resx","5817","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
