"SourceRoot","Project","DependencyType","Include","Version"
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Text.Json",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Core",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Data",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Drawing",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Xml",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege","EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Data",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Drawing",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","Microsoft.CSharp",""
