"SourceRoot","Project","DependencyType","Include","Version"
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Text.Json",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Core",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Data",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Drawing",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege-refactor_Gethub","CodexMarege-refactor-unified-structure (1)/CodexMarege-refactor-unified-structure/CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Xml",""
