"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"CodexMarege_restructured_Replit","CodexMarege/AUTOMATED_BUILD_HELPER.ps1","AUTOMATED_BUILD_HELPER.ps1",".ps1","4575","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/BUILD_NO_MSBUILD.ps1","BUILD_NO_MSBUILD.ps1",".ps1","2849","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/Build.bat","Build.bat",".bat","3336","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/CHECK_ENVIRONMENT.bat","CHECK_ENVIRONMENT.bat",".bat","2905","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/Directory.Build.targets","Directory.Build.targets",".targets","975","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/app.config","app.config",".config","816","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/ClientMainForm.cs","ClientMainForm.cs",".cs","151952","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","True","False","False","False","1","EJLive.Client.WinForms","2","ClientMainForm;ServiceRowState","116","38"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/ClientMainForm.Designer.cs","ClientMainForm.Designer.cs",".cs","786","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms","1","ClientMainForm","1","0"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/ClientMainForm.resx","ClientMainForm.resx",".resx","5814","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Controls/ATMCardControl.cs","ATMCardControl.cs",".cs","8638","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","True","False","False","False","1","EJLive.Client.WinForms.Controls","1","ATMCardControl","4","7"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Controls/DarkButton.cs","DarkButton.cs",".cs","2782","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.Controls","1","DarkButton","1","6"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Controls/StatusCard.cs","StatusCard.cs",".cs","3170","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","True","True","1","EJLive.Client.Controls","1","StatusCard","1","6"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Controls/ThemeColors.cs","ThemeColors.cs",".cs","3504","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.Controls","1","ThemeColors","3","2"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Controls/ToastNotification.cs","ToastNotification.cs",".cs","7696","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","True","False","False","False","1","EJLive.Client.WinForms.Controls","2","ToastNotification;ToastType","12","14"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","EJLive.Client.WinForms.csproj",".csproj","7950","CSharp Project","Project Structure","Original project file used for dependency and assembly mapping.","False","False","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/packages.config","packages.config",".config","236","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Program.cs","Program.cs",".cs","1058","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.WinForms","1","Program","0","5"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Properties/AssemblyInfo.cs","AssemblyInfo.cs",".cs","846","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","True","False","False","False","0","","0","","0","2"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Properties/Resources.Designer.cs","Resources.Designer.cs",".cs","2873","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Properties","3","was;via;Resources","0","1"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Properties/Resources.resx","Resources.resx",".resx","5817","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Services/AdvancedJournalProcessor.cs","AdvancedJournalProcessor.cs",".cs","18462","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","1","AdvancedJournalProcessor","21","18"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/Services/AdvancedNetworkManager.cs","AdvancedNetworkManager.cs",".cs","17187","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","1","AdvancedNetworkManager","12","20"
