"SourceRoot","Project","DependencyType","Include","Version"
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Text.Json",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Agent.WinForms.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Monitoring.WinForms\EJLive.Monitoring.WinForms.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms.DataVisualization",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.IO.Compression.FileSystem",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","Microsoft.CSharp",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Data",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Drawing",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Windows.Forms",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml.Linq",""
"CodexMarege_restructured_Replit","CodexMarege/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","Microsoft.CSharp",""
