"SourceRoot","Project","DependencyType","Include","Version"
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"EJLive-CodexMarege-fixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"EJLive-CodexMarege-fixedGpt","EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive-CodexMarege-fixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"EJLive-CodexMarege-fixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
