"SourceRoot","Project","DependencyType","Include","Version"
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms.DataVisualization",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"EJLiveWorkCoder","EJLiveWorkCoder/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
