"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"EJLive_Client_v5_Enhanced","EJLive.Unified/EJLive.Unified.slnx","EJLive.Unified.slnx",".slnx","876","Solution","Project Structure","Original solution file used for project graph comparison.","False","True","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Agent/AgentBootstrapper.cs","AgentBootstrapper.cs",".cs","8777","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Agent","1","AgentBootstrapper","14","7"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Agent/BootNotifier.cs","BootNotifier.cs",".cs","1504","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Agent","1","BootNotifier","3","1"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Agent/LogBackupScheduler.cs","LogBackupScheduler.cs",".cs","2933","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Agent","1","LogBackupScheduler","5","3"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Agent/NetworkMonitor.cs","NetworkMonitor.cs",".cs","2446","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Agent","1","NetworkMonitor","5","4"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Agent/ScreenshotScheduler.cs","ScreenshotScheduler.cs",".cs","3204","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Agent","1","ScreenshotScheduler","5","5"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Agent/TimeSyncScheduler.cs","TimeSyncScheduler.cs",".cs","2067","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Agent","1","TimeSyncScheduler","6","3"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/app.config","app.config",".config","816","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/app.manifest","app.manifest",".manifest","654","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/ClientMainForm.cs","ClientMainForm.cs",".cs","39647","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","True","True","1","EJLive.Client.WinForms","4","ClientMainForm;Ui;ControlRenderingExtensions;ToolStripExtensions","47","12"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/ClientMainForm.Designer.cs","ClientMainForm.Designer.cs",".cs","786","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms","1","ClientMainForm","1","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/ClientMainForm.resx","ClientMainForm.resx",".resx","5814","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Controls/ATMCardControl.cs","ATMCardControl.cs",".cs","7844","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","True","True","1","EJLive.Client.WinForms.Controls","1","ATMCardControl","4","7"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Controls/DarkButton.cs","DarkButton.cs",".cs","2782","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.Controls","1","DarkButton","1","6"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Controls/StatusCard.cs","StatusCard.cs",".cs","3170","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","True","True","1","EJLive.Client.Controls","1","StatusCard","1","6"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Controls/ThemeColors.cs","ThemeColors.cs",".cs","3504","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.Controls","1","ThemeColors","3","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Controls/ToastNotification.cs","ToastNotification.cs",".cs","7085","WinForms UI","Presentation Layer","Preserved visual surface, form, dashboard, panel, or control for UI consolidation.","False","False","True","True","1","EJLive.Client.WinForms.Controls","2","ToastNotification;ToastType","12","14"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Database/supabase_schema.sql","supabase_schema.sql",".sql","3098","Configuration/Data","Data/Core Layer","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","EJLive.Client.WinForms.csproj",".csproj","2993","CSharp Project","Project Structure","Original project file used for dependency and assembly mapping.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/packages.config","packages.config",".config","156","Configuration/Data","Reference/Future Development","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Program.cs","Program.cs",".cs","1442","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.WinForms","1","Program","2","4"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Properties/AssemblyInfo.cs","AssemblyInfo.cs",".cs","458","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","0","","0","","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Properties/Resources.Designer.cs","Resources.Designer.cs",".cs","2873","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Properties","3","was;via;Resources","0","1"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Properties/Resources.resx","Resources.resx",".resx","5817","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/AdvancedJournalProcessor.cs","AdvancedJournalProcessor.cs",".cs","18462","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","1","AdvancedJournalProcessor","21","18"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/AdvancedNetworkManager.cs","AdvancedNetworkManager.cs",".cs","17187","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","1","AdvancedNetworkManager","12","20"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/AdvancedRemoteCommandHandler.cs","AdvancedRemoteCommandHandler.cs",".cs","21027","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","1","AdvancedRemoteCommandHandler","20","20"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/CashTelemetryService.cs","CashTelemetryService.cs",".cs","10064","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Client.WinForms.Services","2","CashTelemetrySnapshot;CashTelemetryService","12","7"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/ClientConstants.cs","ClientConstants.cs",".cs","2450","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","2","Constants;EJPatterns","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/JournalProcessor.cs","JournalProcessor.cs",".cs","14942","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","1","JournalProcessor","22","15"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/JournalSyncAgent.cs","JournalSyncAgent.cs",".cs","2661","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Client.WinForms.Services","1","JournalSyncAgent","8","6"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/NetworkEngine.cs","NetworkEngine.cs",".cs","9626","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Client.WinForms.Services","1","NetworkEngine","16","11"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/NetworkManager.cs","NetworkManager.cs",".cs","7725","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","1","NetworkManager","12","17"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/RemoteCommandHandler.cs","RemoteCommandHandler.cs",".cs","30635","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Client.WinForms.Services","2","RemoteCommandHandler;Application","32","24"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/WindowsRemoteAccessService.cs","WindowsRemoteAccessService.cs",".cs","5889","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Client.WinForms.Services","2","RemoteAccessResult;WindowsRemoteAccessService","7","9"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Services/WindowsStartupService.cs","WindowsStartupService.cs",".cs","4742","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Client.WinForms.Services","3","StartupRegistrationResult;WindowsStartupService;CommandRun","5","6"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Supabase/SupabaseModels.cs","SupabaseModels.cs",".cs","711","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Client.WinForms.Supabase","4","AtmAgentRow;AgentEventRow;AgentHeartbeatRow;FileTransferRow","4","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Client.WinForms/Supabase/SupabaseSync.cs","SupabaseSync.cs",".cs","3808","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Client.WinForms.Supabase","1","SupabaseSync","11","5"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/App.config","App.config",".config","1497","Configuration/Data","Data/Core Layer","Original configuration or data artifact used to preserve runtime assumptions.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Compatibility/StringCompatibilityExtensions.cs","StringCompatibilityExtensions.cs",".cs","388","CSharp Source","Data/Core Layer","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","System","1","StringCompatibilityExtensions","1","1"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Constants.cs","Constants.cs",".cs","13113","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","False","False","1","EJLive.Core","8","AppConstants;Constants;NetworkConfig;SecurityConfig;ATMPaths;ATMStatusColors;NCRFiles;Protocol","8","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/EJLive.Core.csproj","EJLive.Core.csproj",".csproj","2247","CSharp Project","Data/Core Layer","Original project file used for dependency and assembly mapping.","False","False","False","False","0","","0","","0","0"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/CommunicationProtocol.cs","CommunicationProtocol.cs",".cs","7660","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Engine","4","EJMessage;CommunicationProtocol;MsgType;RemoteCommandEnvelope","26","3"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/FileWatcherEngine.cs","FileWatcherEngine.cs",".cs","34220","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","2","FileWatcherEngine;JournalFileEvent","37","16"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/FleetPredictionEngine.cs","FleetPredictionEngine.cs",".cs","3965","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","2","FleetPredictionEngine;FleetPredictionResult","4","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/GhostRemoteEngine.cs","GhostRemoteEngine.cs",".cs","19018","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","2","GhostRemoteEngine;GhostMessage","21","20"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/ImageSyncEngine.cs","ImageSyncEngine.cs",".cs","18155","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","1","ImageSyncEngine","19","18"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/JournalOutbox.cs","JournalOutbox.cs",".cs","2816","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Engine","2","JournalOutboxItem;JournalOutbox","6","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/JournalSyncTracker.cs","JournalSyncTracker.cs",".cs","7982","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","1","JournalSyncTracker","14","7"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/NetworkEngine.cs","NetworkEngine.cs",".cs","10108","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Engine","1","NetworkEngine","8","3"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/OperationalEngines.cs","OperationalEngines.cs",".cs","17596","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Engine","9","FileWatcherEngine;struct;GhostRemoteEngine;TransactionAnalysisEngine;ImageSyncEngine;ReportExportEngine;FleetPredictionEngine;ServerEngine;ClientConnection","23","14"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/Protocol.cs","Protocol.cs",".cs","2826","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Engine","5","SecurityConfig;NetworkConfig;NCRFiles;FilePatterns;Protocol","2","1"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/ReportExportEngine.cs","ReportExportEngine.cs",".cs","31556","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","2","ReportExportEngine;SyncLogEntry","15","13"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/ServerEngine.cs","ServerEngine.cs",".cs","44356","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","5","ServerEngine;ClientSession;FileReceiveState;ReceivedPacket;ClientConnection","36","18"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Engine/TransactionAnalysisEngine.cs","TransactionAnalysisEngine.cs",".cs","50715","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Engine","28","TransactionAnalysisEngine;NCR_Patterns;GRG_Patterns;WN_Patterns;TxType;TxResult;JournalSearchFilter;TransactionRecord;JournalAnalysisResult;ITransactionPattern;NCRWithdrawalPattern;NCRBalanceInquiryPattern;NCRCardRetainPattern;NCRSupervisorPattern;NCRErrorPattern;NCRCashStatusPattern;GRGWithdrawalPattern;GRGBalanceInquiryPattern;GRGCardRetainPattern;GRGSupervisorPattern;GRGErrorPattern;GRGCashStatusPattern;WNWithdrawalPattern;WNBalanceInquiryPattern;WNCardRetainPattern;WNSupervisorPattern;WNErrorPattern;WNCashStatusPattern","49","14"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/AnalysisRuntimeModels.cs","AnalysisRuntimeModels.cs",".cs","5698","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","14","TxType;TxResult;TransactionType;TransactionStatus;ATMOperationalState;GhostSessionStatus;ATMTransaction;ATMError;RetainedCard;ATMCashInfo;ATMDetailedStatus;TransactionAnalysisReport;AlertPayload;GhostSession","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/ATMInfo.cs","ATMInfo.cs",".cs","20274","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","True","False","True","True","1","EJLive.Core.Models","12","ATMInfo;ConnectionStatus;ATMStatus;ATMType;SyncStatus;AlertSeverity;JournalSyncState;ATMCardState;AlertPayload;JournalSyncRecord;ClientConfig;ServerConfig","16","4"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/CompatibilityModels.cs","CompatibilityModels.cs",".cs","5412","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","16","TxType;TxResult;TransactionType;TransactionStatus;ATMOperationalState;GhostSessionStatus;ImageSyncStatus;AlertPayload;CashStatus;RetainedCard;ATMError;ATMTransaction;ATMDetailedStatus;TransactionAnalysisReport;GhostSession;ImageSyncItem","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/JournalSyncModels.cs","JournalSyncModels.cs",".cs","11562","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","True","False","True","True","1","EJLive.Core.Models","13","JournalEntry;SyncStatusInfo;RemoteCommand;RemoteCommandType;CommandParameters;JournalDailyStats;LiveSyncProgress;JournalSyncState;JournalSyncAlertSeverity;JournalSyncRecord;JournalSyncStatusSnapshot;JournalSyncAlert;JournalSyncDashboardItem","1","4"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/MergedTraceModels.cs","MergedTraceModels.cs",".cs","1701","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","2","NcrMergedTraceEvent;NcrMergedTraceCorrelationResult","0","3"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/NcrCapabilityModels.cs","NcrCapabilityModels.cs",".cs","1157","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","1","NcrConfigCapabilityProfile","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/NcrConfigCapabilityModels.cs","NcrConfigCapabilityModels.cs",".cs","1113","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","1","NcrConfigCapabilityProfile","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/NcrConfigModels.cs","NcrConfigModels.cs",".cs","1810","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","1","NcrConfigCapabilityProfile","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/NcrConfigProfileModels.cs","NcrConfigProfileModels.cs",".cs","1358","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","1","NcrConfigProfile","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/NcrConfigurationModels.cs","NcrConfigurationModels.cs",".cs","894","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","1","NcrConfigurationProfile","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/OperationalContracts.cs","OperationalContracts.cs",".cs","6963","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","14","OperationalRecordState;UploadHealthState;FaultEventSeverity;TicketState;RemoteTaskState;TerminalBindingRecord;AgentConfigurationRecord;VendorModelMappingRecord;UploadLogRecord;FaultEventRecord;RemoteTaskRecord;TicketRecord;ArchiveIndexRecord;CashReplenishmentSnapshot","0","2"
"EJLive_Client_v5_Enhanced","EJLive.Unified/src/EJLive.Core/Models/TransactionModels.cs","TransactionModels.cs",".cs","24024","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","True","False","True","True","1","EJLive.Core.Models","7","ATMStatsSummary;LiveTransactionEvent;DailySyncReport;AlertReport;AuditLogEntry;SystemUser;AppConfig","8","6"
