"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Client.WinForms/Program.cs","Program.cs",".cs","347","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Client.WinForms","1","Program","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Constants.cs","Constants.cs",".cs","21032","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","True","False","False","False","1","EJLive.Core","17","AppConstants;Colors;Constants;Encryption;Paths;EJPatterns;NetworkConfig;ATMPaths;ATMStatusColors;ATMType;ATMStatus;SyncStatus;SyncStrategy;SecurityConfig;Protocol;NCRFiles;FilePatterns","12","1"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","EJLive.Core.csproj",".csproj","4294","CSharp Project","Data/Core Layer","Original project file used for dependency and assembly mapping.","False","False","False","False","0","","0","","0","0"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Engine/ImageSyncEngine.cs","ImageSyncEngine.cs",".cs","10661","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","False","False","1","EJLive.Core.Engine","1","ImageSyncEngine","13","10"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Engine/NetworkEngine.cs","NetworkEngine.cs",".cs","15742","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","False","False","1","EJLive.Core.Engine","1","NetworkEngine","14","6"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Engine/ServerEngine.cs","ServerEngine.cs",".cs","15471","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","False","False","1","EJLive.Core.Engine","2","ServerEngine;ClientConnection","13","8"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Models/ATMInfo.cs","ATMInfo.cs",".cs","5508","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","False","False","1","EJLive.Core.Models","3","ATMInfo;ClientConfig;ServerConfig","5","1"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Models/NcrConfigModels.cs","NcrConfigModels.cs",".cs","1810","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Models","1","NcrConfigCapabilityProfile","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Properties/AssemblyInfo.cs","AssemblyInfo.cs",".cs","417","CSharp Source","Data/Core Layer","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","0","","0","","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Sync/JournalSyncModels.cs","JournalSyncModels.cs",".cs","3930","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Sync","7","JournalSyncStatus;JournalTransferStatus;JournalSyncEntry;ATMJournalSyncState;JournalSyncAlert;JournalSyncStateEnvelope;JournalSyncDashboardSnapshot","0","2"
