"SourceRoot","Project","DependencyType","Include","Version"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Data",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml.Linq",""
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","Microsoft.CSharp",""
