"SourceRoot","Project","DependencyType","Include","Version"
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_Enterprise_20260510_latest_workspace","EJLive_Enterprise_20260510_latest_workspace/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
