"SourceRoot","Project","DependencyType","Include","Version"
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms.DataVisualization",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.IO.Compression.FileSystem",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Shared/EJLive.Shared.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"EJLive_Enterprise_v3.4.0_Enhanced","EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.IO.Compression",""
