"SourceRoot","Project","DependencyType","Include","Version"
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_Menus_ai","EJLive_Enterprise_v3.4.0_Enhanced_Work/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
