"SourceRoot","Project","DependencyType","Include","Version"
"EJLive_replik","EJLive_replik/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"EJLive_replik","EJLive_replik/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_replik","EJLive_replik/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_replik","EJLive_replik/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_replik","EJLive_replik/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_replik","EJLive_replik/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"EJLive_replik","EJLive_replik/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_replik","EJLive_replik/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_replik","EJLive_replik/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"EJLive_replik","EJLive_replik/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_replik","EJLive_replik/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_replik","EJLive_replik/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_replik","EJLive_replik/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms.DataVisualization",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.IO.Compression.FileSystem",""
"EJLive_replik","EJLive_replik/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"EJLive_replik","EJLive_replik/EJLive.Shared/EJLive.Shared.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"EJLive_replik","EJLive_replik/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"EJLive_replik","EJLive_replik/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"EJLive_replik","EJLive_replik/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.IO.Compression",""
