"SourceRoot","Project","DependencyType","Include","Version"
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"FixedGpt","EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Web.Extensions",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"FixedGpt","EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Monitoring.WinForms\EJLive.Monitoring.WinForms.csproj",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"FixedGpt","EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Xml",""
