"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.agents/agent_assets_metadata.toml","agent_assets_metadata.toml",".toml","1210","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/COMMIT_EDITMSG","COMMIT_EDITMSG","","433","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/config","config","","287","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/description","description","","73","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/HEAD","HEAD","","21","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/applypatch-msg.sample","applypatch-msg.sample",".sample","535","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/commit-msg.sample","commit-msg.sample",".sample","953","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/fsmonitor-watchman.sample","fsmonitor-watchman.sample",".sample","4777","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/post-update.sample","post-update.sample",".sample","246","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/pre-applypatch.sample","pre-applypatch.sample",".sample","481","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/pre-commit.sample","pre-commit.sample",".sample","1706","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/pre-merge-commit.sample","pre-merge-commit.sample",".sample","473","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/pre-push.sample","pre-push.sample",".sample","1431","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/pre-rebase.sample","pre-rebase.sample",".sample","5006","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/pre-receive.sample","pre-receive.sample",".sample","601","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/prepare-commit-msg.sample","prepare-commit-msg.sample",".sample","1702","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/push-to-checkout.sample","push-to-checkout.sample",".sample","2840","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/sendemail-validate.sample","sendemail-validate.sample",".sample","2365","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/hooks/update.sample","update.sample",".sample","3707","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/index","index","","31817","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/info/exclude","exclude","","240","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/logs/HEAD","HEAD","","4231","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/logs/refs/heads/main","main","","4231","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/logs/refs/heads/replit-agent","replit-agent","","2790","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/logs/refs/notes/commits","commits","","772","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/logs/refs/remotes/gitsafe-backup/main","main","","3060","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/00/d5bdd4b036c741bd9eb65c5ea3326df2cb6c96","d5bdd4b036c741bd9eb65c5ea3326df2cb6c96","","4831","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/02/04737ed8524bd1fdbc8f1b401159318205d04e","04737ed8524bd1fdbc8f1b401159318205d04e","","564","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/03/04c4c9f5636adf7f61a07f536de9cf27c4d3f7","04c4c9f5636adf7f61a07f536de9cf27c4d3f7","","629","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/03/2cee09007a7b7590afea9daf92ab2c98d10f4e","2cee09007a7b7590afea9daf92ab2c98d10f4e","","4605","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/03/a2a012746ceb5d221f49bc47aec49214ddc2e3","a2a012746ceb5d221f49bc47aec49214ddc2e3","","2571","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/04/39d7d6744c9cabef5921934f6fb1e9d8636ff3","39d7d6744c9cabef5921934f6fb1e9d8636ff3","","177","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/05/6354bf824bf1f06e9dbceeacad512ce21b03d1","6354bf824bf1f06e9dbceeacad512ce21b03d1","","1636","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/06/183940c07aece00ab87ddb8755435ccba06f69","183940c07aece00ab87ddb8755435ccba06f69","","145","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/06/3bc8c3be2e147d4ec8a2f3ed973f4f76311bf1","3bc8c3be2e147d4ec8a2f3ed973f4f76311bf1","","1462","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/06/61bdc091c59eff6fbb83032953f5c8a0006783","61bdc091c59eff6fbb83032953f5c8a0006783","","3809","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/07/7efdddce259613619dc268a8b10fd84292ed46","7efdddce259613619dc268a8b10fd84292ed46","","2651","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/07/c855647fefe5210c9e38dafae23fa998c07b41","c855647fefe5210c9e38dafae23fa998c07b41","","187556","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/08/d1d118d466a2d27ef9dcf8070b839ccb3220bd","d1d118d466a2d27ef9dcf8070b839ccb3220bd","","4019","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0a/276fcb1d7623b0d57fd649fddfb043b535ea62","276fcb1d7623b0d57fd649fddfb043b535ea62","","2239","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0a/a2c69544b57b30fbd8a24616475c3c512ba3de","a2c69544b57b30fbd8a24616475c3c512ba3de","","287","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0c/10e2551fe8ae8b8b71f7a8c41580617e5f6afe","10e2551fe8ae8b8b71f7a8c41580617e5f6afe","","71","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0c/c0011b95700f86231b3bb36e9fe2cda6f8055b","c0011b95700f86231b3bb36e9fe2cda6f8055b","","967","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0c/d4b2c03d306c38836d43c7f3dc2cb2547c64a7","d4b2c03d306c38836d43c7f3dc2cb2547c64a7","","1831","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0d/23073d3770dec1286f7c1bbd6eab24fd915fbe","23073d3770dec1286f7c1bbd6eab24fd915fbe","","413","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0d/cc29ba2400aa5c93734cca186dc7b4ef5dce9c","cc29ba2400aa5c93734cca186dc7b4ef5dce9c","","3532","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0d/d9c84d9746bf9a8a1959633ebc1b5dc23fb5a8","d9c84d9746bf9a8a1959633ebc1b5dc23fb5a8","","488","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0e/8b804b88a6af0f52a3f8181564e84edbc6b1fb","8b804b88a6af0f52a3f8181564e84edbc6b1fb","","196","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/.git/objects/0e/e217dba0c92bf4af5e221ecf47de9604ebac25","e217dba0c92bf4af5e221ecf47de9604ebac25","","958","Reference Artifact","Reference/Future Development","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
