"SourceRoot","Project","DependencyType","Include","Version"
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Xml",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Core",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Data",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Drawing",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Windows.Forms",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Xml",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","Microsoft.CSharp",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitor/EJLive.Monitor.csproj","AssemblyReference","System.Data.SQLite",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Xml",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Data",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Drawing",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Windows.Forms",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml.Linq",""
"System-Analyzer-Unified_Replit","System-Analyzer-Unified/EJLive_Enterprise_Ultimate/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","Microsoft.CSharp",""
