"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"_coder01_source_study","Coder01/analysis_notes.md","analysis_notes.md",".md","20920","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/ARCHITECTURE.md","ARCHITECTURE.md",".md","20097","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/AUTOMATED_BUILD_HELPER.ps1","AUTOMATED_BUILD_HELPER.ps1",".ps1","4575","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/BUILD_COMPLETE_FIX.txt","BUILD_COMPLETE_FIX.txt",".txt","8088","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/BUILD_INSTRUCTIONS.md","BUILD_INSTRUCTIONS.md",".md","7269","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/BUILD_NO_MSBUILD.ps1","BUILD_NO_MSBUILD.ps1",".ps1","2849","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/Build.bat","Build.bat",".bat","5807","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/CHECK_ENVIRONMENT.bat","CHECK_ENVIRONMENT.bat",".bat","2905","Build/Tool Script","Reference/Future Development","Original build or maintenance script retained as reference.","False","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/COMPARISON_AND_MERGER.md","COMPARISON_AND_MERGER.md",".md","6353","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"_coder01_source_study","Coder01/COMPILATION_SUMMARY.txt","COMPILATION_SUMMARY.txt",".txt","8139","Documentation/Requirements","Reference/Future Development","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
