"SourceRoot","Project","DependencyType","Include","Version"
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"_coder01_source_study","Coder01/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"_coder01_source_study","Coder01/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Data",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"_coder01_source_study","Coder01/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
