"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/_rels/.rels",".rels",".rels","735","Reference Artifact","Verification","Reference artifact retained for future analysis.","False","False","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/[Content_Types].xml","[Content_Types].xml",".xml","2245","Configuration/Data","Verification","Original configuration or data artifact used to preserve runtime assumptions.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/banner.png","banner.png",".png","282375","Visual Asset","Verification","Reference artifact retained for future analysis.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/BUILD_INSTRUCTIONS.md","BUILD_INSTRUCTIONS.md",".md","5466","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","True","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/CARDREAD_1.log","CARDREAD_1.log",".log","49178","Runtime Log Evidence","Verification","Original ATM/vendor log evidence for parser and behavior tests.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/CARDREAD_15.log","CARDREAD_15.log",".log","25972","Runtime Log Evidence","Verification","Original ATM/vendor log evidence for parser and behavior tests.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/Central ATM Monitoring Sys.xlsx","Central ATM Monitoring Sys.xlsx",".xlsx","35784","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/Central ATM Monitoring System  (1).xlsx","Central ATM Monitoring System  (1).xlsx",".xlsx","35768","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/Central ATM Monitoring System .xlsx","Central ATM Monitoring System .xlsx",".xlsx","37289","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/Central Monitoring - Copy (2).xlsx","Central Monitoring - Copy (2).xlsx",".xlsx","50489","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/Central Monitoring Ysys Requred.xlsx","Central Monitoring Ysys Requred.xlsx",".xlsx","37289","Documentation/Requirements","Verification","Original documentation, requirements, analysis, or spreadsheet evidence.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/Coder01.zip","Coder01.zip",".zip","2651736","Archive Package","Verification","Nested or delivered package preserved for traceability.","False","True","False","False","0","","0","","0","0"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/docProps/app.xml","app.xml",".xml","1104","Configuration/Data","Verification","Original configuration or data artifact used to preserve runtime assumptions.","False","True","False","False","0","","0","","0","0"
