"SourceRoot","Project","DependencyType","Include","Version"
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Core",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Drawing",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Agent.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Core",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Data",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Drawing",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.IO.Compression",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Core",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Drawing",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.IO.Compression",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Security",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Text.Json",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Windows.Forms",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Xml.Linq",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","Microsoft.CSharp",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Core/EJLive.Core.csproj","AssemblyReference","System.Data.SQLite",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Core",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Drawing",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_codex_zip_study_20260515_053548","ActiveTestPackage/agent_files/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
