"SourceRoot","Project","DependencyType","Include","Version"
"src","src/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"src","src/EJLive.Client.WinForms/EJLive.Client.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"src","src/EJLive.Core/EJLive.Core.csproj","PackageReference","System.Data.SQLite.Core","1.0.118"
"src","src/EJLive.Core/EJLive.Core.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"src","src/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"src","src/EJLive.Installer.WinForms/EJLive.Installer.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"src","src/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"src","src/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"src","src/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"src","src/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"src","src/EJLive.Verification/EJLive.Verification.csproj","PackageReference","System.Data.SQLite.Core","1.0.118"
"src","src/EJLive.Verification/EJLive.Verification.csproj","ProjectReference","..\EJLive.Client.WinForms\EJLive.Client.WinForms.csproj",""
"src","src/EJLive.Verification/EJLive.Verification.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"src","src/EJLive.Verification/EJLive.Verification.csproj","ProjectReference","..\EJLive.Monitoring.WinForms\EJLive.Monitoring.WinForms.csproj",""
"src","src/EJLive.Verification/EJLive.Verification.csproj","ProjectReference","..\EJLive.Server.WinForms\EJLive.Server.WinForms.csproj",""
"src","src/EJLive.Verification/EJLive.Verification.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
